run,step,value,wall_time
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,17,-0.4164111018180847,1776847324.8199875
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,18,-0.34457269310951233,1776847329.838699
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,19,-0.4931401014328003,1776847334.6521006
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,20,-0.37742140889167786,1776847339.5486133
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,21,-0.4931611716747284,1776847344.535248
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,22,-0.4685576856136322,1776847349.4672954
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,23,-0.4895174503326416,1776847354.522227
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-0.1430441290140152,1776842192.4085455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-0.06515036523342133,1776842258.2359593
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-0.09453143924474716,1776842285.363921
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-0.17487625777721405,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-0.1574171781539917,1776842318.5500317
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-0.11026310175657272,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-0.12072734534740448,1776842353.2152872
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-0.1913478970527649,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-0.14910194277763367,1776842391.445844
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-0.21751806139945984,1776842413.2012188
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-0.17555731534957886,1776842437.7164435
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-0.20111805200576782,1776842495.1693535
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-0.04231346398591995,1776842554.1838357
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-0.04254285246133804,1776842612.232499
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-0.12485731393098831,1776842670.9262538
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-0.15433338284492493,1776842729.2005692
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-0.10247106105089188,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-0.09498891979455948,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-0.15170112252235413,1776842794.1371214
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-0.09348931908607483,1776842811.6051123
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-0.2827164828777313,1776842840.8354385
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-0.09815741330385208,1776842898.2967386
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,0.014045127667486668,1776842956.6203868
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-0.05266110971570015,1776843013.6358812
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,25,-0.058165743947029114,1776843077.1938436
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,26,0.0021744847763329744,1776843137.6709807
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,27,-0.19053734838962555,1776843200.3336484
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,28,-0.12694086134433746,1776843259.968241
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,29,-0.21197548508644104,1776843317.5167499
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,30,-0.27213171124458313,1776843376.0497985
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,31,-0.1547377109527588,1776843425.3252625
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,32,-0.14738328754901886,1776843484.7797022
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,33,-0.2505643665790558,1776843542.246364
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,34,-0.08542099595069885,1776843599.6886961
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,35,-0.09486934542655945,1776843658.7745867
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,36,-0.1219462975859642,1776843715.0131602
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,37,-0.040871452540159225,1776843770.446328
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,38,-0.06244895979762077,1776843820.1456637
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,39,-0.20534777641296387,1776843877.0801892
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,40,-0.13039636611938477,1776843930.6536994
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,41,-0.13392360508441925,1776843989.094419
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,42,-0.1142464280128479,1776844023.1836193
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,43,-0.06417954713106155,1776844040.8031518
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,44,-0.009387370198965073,1776844057.8992054
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,45,-0.10348835587501526,1776844075.0069568
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,46,-0.23371721804141998,1776844093.208649
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,47,-0.22334061563014984,1776844112.3890727
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,48,-0.20633402466773987,1776844131.2858467
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,49,-0.05399111285805702,1776844151.88067
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,50,0.03153883293271065,1776844177.4778624
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,51,-0.2533486485481262,1776844357.598918
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,52,-0.13175998628139496,1776844417.059616
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,53,-0.1937905251979828,1776844478.9898498
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,54,-0.15909262001514435,1776844538.437963
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,55,-0.11839811503887177,1776844574.5567503
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,56,-0.16052061319351196,1776844609.0642426
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,57,-0.08235296607017517,1776844665.6751938
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,58,-0.1928865611553192,1776844722.4544134
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,59,-0.07503210753202438,1776844751.544829
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,60,-0.10570792108774185,1776844805.6260939
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,61,-0.1836453527212143,1776844864.0277205
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,62,-0.1933758407831192,1776844892.1638243
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,63,-0.09693653881549835,1776844909.6171844
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,64,-0.11523297429084778,1776844927.7944689
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,65,-0.19333544373512268,1776844946.6034696
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,66,-0.31893888115882874,1776844966.8524761
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,67,-0.04829275235533714,1776844988.5487292
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,68,-0.11496035754680634,1776845016.9623291
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,69,-0.20985718071460724,1776845042.645809
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,70,-0.043469373136758804,1776845065.6213531
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,71,-0.09817620366811752,1776845087.5537593
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,72,-0.01769586093723774,1776845109.192502
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,73,-0.04315044730901718,1776845133.8112056
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,74,-0.1636936217546463,1776845156.9335742
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,75,-0.09349226951599121,1776845180.2215893
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,76,-0.10726004838943481,1776845201.1282973
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,77,-0.14564809203147888,1776845223.312725
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,78,-0.12710313498973846,1776845246.7517865
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,79,-0.19218309223651886,1776845270.4475424
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,80,-0.09715336561203003,1776845300.0943742
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,81,-0.09653084725141525,1776845334.5327306
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,82,-0.19451864063739777,1776845374.2789195
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,83,-0.037621524184942245,1776845403.2550983
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,84,-0.2211739420890808,1776845432.2062783
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,85,-0.09260860085487366,1776845459.8118787
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,86,-0.2562479078769684,1776845505.113049
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,87,-0.09984223544597626,1776845556.7146912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,88,-0.07828051596879959,1776845577.801359
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,89,-0.15603506565093994,1776845599.7224083
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,90,-0.23365317285060883,1776845619.1736357
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,91,-0.15102851390838623,1776845637.3652465
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,92,-0.11782462149858475,1776845656.4078066
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,93,-0.07045553624629974,1776845675.4095445
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,94,-0.1988888829946518,1776845697.114481
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,95,-0.0761641189455986,1776845721.6593115
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,96,-0.13321469724178314,1776845745.1216943
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,97,-0.14269156754016876,1776845769.421269
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,98,-0.24940337240695953,1776845793.634197
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,99,-0.16043348610401154,1776845815.7830274
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,100,-0.07711471617221832,1776845838.2981648
